Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1 uF,C_0603_1608Metric,155.448,-64.008,-90.0,top
C2,0.1 uF,C_0603_1608Metric,147.32,-63.92,-90.0,top
J1,Conn_02x04_Counter_Clockwise,PinHeader_2x04_P2.54mm_Vertical,171.455,-64.76,0.0,top
J2,Conn_01x12,PinHeader_2x06_P2.54mm_Horizontal,123.382,-62.23,180.0,top
J3,Conn_02x02_Odd_Even,PinHeader_2x02_P2.54mm_Vertical,151.638,-70.104,-90.0,top
J4,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,171.455,-53.34,90.0,top
J5,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,151.135,-53.76,90.0,top
J6,Conn_01x08,PinHeader_1x08_P2.54mm_Vertical,163.322,-62.215,0.0,top
J7,Conn_01x08,PinHeader_1x08_P2.54mm_Vertical,137.16,-62.215,0.0,top
R1,50K,R_0603_1608Metric,158.242,-63.945,-90.0,top
U1,TXB0108DQSR,USON-20_2x4mm_P0.4mm,151.5,-62.38,180.0,top
