Time [s],TL_CLK,TL_IN_RDY,TL_IN_DATA,TL_IN_VAL,TL_OUT_VAL,TL_OUT_DATA,TL_OUT_RDY
0.000000000,0,1,0,0,0,0,0
0.000432625,1,1,0,0,0,0,0
0.000932625,0,1,0,0,0,0,0
0.001432687,1,1,0,0,0,0,0
0.001932687,0,1,0,0,0,0,0
0.002432750,1,1,0,0,0,0,0
0.002932750,0,1,0,0,0,0,0
0.003432813,1,1,0,0,0,0,0
0.003932812,0,1,0,0,0,0,0
0.004432813,1,1,0,0,0,0,0
0.004932875,0,1,0,0,0,0,0
0.005432875,1,1,0,0,0,0,0
0.005932937,0,1,0,0,0,0,0
0.006432938,1,1,0,0,0,0,0
0.006932937,0,1,0,0,0,0,0
0.007433000,1,1,0,0,0,0,0
0.007933000,0,1,0,0,0,0,0
0.008433062,1,1,0,0,0,0,0
0.008933063,0,1,0,0,0,0,0
0.009433125,1,1,0,0,0,0,0
0.009933125,0,1,0,0,0,0,0
0.010433125,1,1,0,0,0,0,0
0.010933188,0,1,0,0,0,0,0
0.011433188,1,1,0,0,0,0,0
0.011933250,0,1,0,0,0,0,0
0.012433250,1,1,0,0,0,0,0
0.012933313,0,1,0,0,0,0,0
0.013433313,1,1,0,0,0,0,0
0.013933312,0,1,0,0,0,0,0
0.014433375,1,1,0,0,0,0,0
0.014933375,0,1,0,0,0,0,0
0.015433437,1,1,0,0,0,0,0
0.015933438,0,1,0,0,0,0,0
0.016433500,1,1,0,0,0,0,0
0.016933500,0,1,0,0,0,0,0
0.017433500,1,1,0,0,0,0,0
0.017933562,0,1,0,0,0,0,0
0.018433563,1,1,0,0,0,0,0
0.018933625,0,1,0,0,0,0,0
0.019433625,1,1,0,0,0,0,0
0.019933625,0,1,0,0,0,0,0
0.020433687,1,1,0,0,0,0,0
0.020933687,0,1,0,0,0,0,0
0.021433750,1,1,0,0,0,0,0
0.021933750,0,1,0,0,0,0,0
0.022433813,1,1,0,0,0,0,0
0.022933813,0,1,0,0,0,0,0
0.023433813,1,1,0,0,0,0,0
0.023933875,0,1,0,0,0,0,0
0.024433875,1,1,0,0,0,0,0
0.024933937,0,1,0,0,0,0,0
0.025433937,1,1,0,0,0,0,0
0.025934000,0,1,0,0,0,0,0
0.026434000,1,1,0,0,0,0,0
0.026934000,0,1,0,0,0,0,0
0.027434062,1,1,0,0,0,0,0
0.027934062,0,1,0,0,0,0,0
0.028434125,1,1,0,0,0,0,0
0.028934125,0,1,0,0,0,0,0
0.029434188,1,1,0,0,0,0,0
0.029934188,0,1,0,0,0,0,0
0.030434188,1,1,0,0,0,0,0
0.030934250,0,1,0,0,0,0,0
